time,breath,heart,distance
198604,11.00,99.00,51.66
199204,9.00,101.00,51.66
199804,7.00,103.00,51.66
200404,5.00,103.00,51.66
201008,4.00,104.00,51.66
201708,3.00,103.00,51.66
202308,2.00,103.00,51.66
202912,2.00,103.00,45.92
203512,1.00,103.00,45.92
204112,1.00,103.00,45.92
204716,1.00,104.00,45.92
205416,2.00,104.00,45.92
206016,7.00,103.00,45.92
206620,10.00,103.00,45.92
207220,13.00,103.00,57.40
208020,16.00,103.00,68.88
208520,17.00,105.00,68.88
209125,19.00,106.00,57.40
209725,20.00,108.00,45.92
210325,21.00,110.00,40.18
211029,21.00,111.00,40.18
211629,22.00,111.00,40.18
212229,22.00,112.00,40.18
212833,22.00,113.00,51.66
213433,24.00,114.00,63.14
214133,25.00,115.00,74.62
214737,22.00,116.00,80.36
215337,24.00,117.00,74.62
215937,24.00,118.00,74.62
216537,22.00,116.00,68.88
217242,21.00,115.00,63.14
217842,21.00,113.00,57.40
218442,21.00,110.00,51.66
219046,20.00,108.00,45.92
219646,20.00,107.00,40.18
220346,20.00,105.00,40.18
220950,19.00,104.00,40.18
221550,19.00,102.00,45.92
222150,19.00,103.00,40.18
222754,18.00,102.00,40.18
223354,17.00,102.00,34.44
224054,17.00,102.00,34.44
224658,15.00,103.00,40.18
225258,13.00,104.00,34.44
225858,10.00,106.00,34.44
226558,8.00,108.00,34.44
227162,6.00,111.00,34.44
227762,5.00,113.00,34.44
228362,4.00,114.00,34.44
228966,3.00,113.00,34.44
229666,2.00,113.00,34.44
230266,2.00,114.00,34.44
230870,3.00,114.00,34.44
231470,7.00,114.00,34.44
232070,11.00,114.00,34.44
232774,14.00,112.00,34.44
233374,16.00,112.00,34.44
233974,18.00,111.00,34.44
234574,15.00,110.00,34.44
235279,11.00,109.00,34.44
235879,13.00,109.00,34.44
236479,14.00,108.00,34.44
237083,16.00,106.00,28.70
237683,18.00,104.00,28.70
238283,19.00,102.00,28.70
238987,20.00,101.00,28.70
239587,21.00,100.00,28.70
240187,21.00,99.00,28.70
240791,22.00,98.00,22.96
241391,22.00,98.00,22.96
241991,23.00,96.00,22.96
242795,22.00,95.00,22.96
243295,21.00,94.00,22.96
243895,21.00,94.00,28.70
244495,20.00,94.00,28.70
245099,20.00,96.00,28.70
245699,20.00,98.00,28.70
246499,19.00,99.00,28.70
247003,19.00,99.00,28.70
247603,19.00,97.00,28.70
248203,19.00,94.00,28.70
248807,19.00,92.00,28.70
249407,19.00,90.00,28.70
250007,19.00,89.00,28.70
250711,19.00,87.00,28.70
251311,19.00,86.00,34.44
251911,19.00,85.00,34.44
252511,19.00,86.00,34.44
253115,19.00,88.00,34.44
253715,19.00,90.00,34.44
254415,19.00,92.00,34.44
255019,19.00,94.00,34.44
255619,19.00,96.00,34.44
256219,19.00,97.00,34.44
256823,19.00,98.00,34.44
257423,19.00,99.00,34.44
258123,19.00,99.00,34.44
258727,19.00,100.00,34.44
